Team,Date,MATCHUP,Home/Away,W/L,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
HOU,5/4/19,HOU vs. GSW,FALSE,W,265,126,45,93,48.4,27,51,52.94117647,18,42,42.9,18,26,69.2,17,38,55,20,4,6,13,24,5
GSW,5/4/19,GSW @ HOU,TRUE,L,266,121,42,95,44.2,28,62,45.16129032,14,33,42.4,23,29,79.3,7,28,35,27,6,6,8,22,-5
POR,5/3/19,POR vs. DEN,FALSE,W,340,140,52,124,41.9,40,82,48.7804878,12,42,28.6,24,28,85.7,24,38,62,23,13,5,13,24,3
MIL,5/3/19,MIL @ BOS,TRUE,W,239,123,42,83,50.6,27,46,58.69565217,15,37,40.5,24,36,66.7,7,37,44,23,8,7,15,26,7
DEN,5/3/19,DEN @ POR,TRUE,L,341,137,54,119,45.4,39,77,50.64935065,15,42,35.7,14,20,70,24,42,66,28,11,8,20,27,-3
BOS,5/3/19,BOS vs. MIL,FALSE,L,240,116,35,81,43.2,19,41,46.34146341,16,40,40,30,32,93.8,6,38,44,24,9,3,17,27,-7
TOR,5/2/19,TOR @ PHI,TRUE,L,240,95,35,83,42.2,28,56,50,7,27,25.9,18,23,78.3,8,27,35,15,7,4,9,17,-21
PHI,5/2/19,PHI vs. TOR,FALSE,W,239,116,43,84,51.2,33,61,54.09836066,10,23,43.5,20,23,87,9,36,45,29,4,8,13,17,21
POR,5/1/19,POR @ DEN,TRUE,W,241,97,36,85,42.4,27,56,48.21428571,9,29,31,16,20,80,7,40,47,18,5,6,10,22,7
DEN,5/1/19,DEN vs. POR,FALSE,L,239,90,34,98,34.7,28,69,40.57971014,6,29,20.7,16,26,61.5,23,35,58,20,6,5,9,19,-7
MIL,4/30/19,MIL vs. BOS,FALSE,W,240,123,39,88,44.3,19,41,46.34146341,20,47,42.6,25,31,80.6,10,43,53,22,6,4,11,24,21
HOU,4/30/19,HOU @ GSW,TRUE,L,238,109,36,77,46.8,19,37,51.35135135,17,40,42.5,20,25,80,10,31,41,17,5,2,17,21,-6
GSW,4/30/19,GSW vs. HOU,FALSE,W,239,115,42,91,46.2,31,55,56.36363636,11,36,30.6,20,24,83.3,18,27,45,24,10,5,12,23,6
BOS,4/30/19,BOS @ MIL,TRUE,L,241,102,34,86,39.5,24,58,41.37931034,10,28,35.7,24,27,88.9,7,38,45,19,5,2,13,23,-21
TOR,4/29/19,TOR vs. PHI,FALSE,L,240,89,33,90,36.7,23,53,43.39622642,10,37,27,13,15,86.7,9,27,36,20,10,4,10,22,-5
POR,4/29/19,POR @ DEN,TRUE,L,239,113,41,79,51.9,30,50,60,11,29,37.9,20,27,74.1,9,31,40,20,6,5,18,24,-8
PHI,4/29/19,PHI @ TOR,TRUE,W,240,94,30,76,39.5,20,41,48.7804878,10,35,28.6,24,26,92.3,9,43,52,22,5,4,19,18,5
DEN,4/29/19,DEN vs. POR,FALSE,W,240,121,41,81,50.6,29,52,55.76923077,12,29,41.4,27,31,87.1,7,27,34,22,12,7,12,22,8
MIL,4/28/19,MIL vs. BOS,FALSE,L,238,90,31,89,34.8,18,50,36,13,39,33.3,15,24,62.5,7,37,44,19,6,2,10,11,-22
HOU,4/28/19,HOU @ GSW,TRUE,L,241,100,31,74,41.9,17,27,62.96296296,14,47,29.8,24,29,82.8,3,23,26,14,14,3,14,21,-4
GSW,4/28/19,GSW vs. HOU,FALSE,W,239,104,38,75,50.7,31,53,58.49056604,7,22,31.8,21,27,77.8,8,30,38,24,7,3,20,24,4
BOS,4/28/19,BOS @ MIL,TRUE,W,241,112,47,87,54,34,56,60.71428571,13,31,41.9,5,8,62.5,3,48,51,25,5,11,11,21,22
TOR,4/27/19,TOR vs. PHI,FALSE,W,240,108,41,79,51.9,32,52,61.53846154,9,27,33.3,17,24,70.8,2,38,40,21,3,6,10,24,13
SAS,4/27/19,SAS @ DEN,TRUE,L,240,86,31,85,36.5,25,62,40.32258065,6,23,26.1,18,20,90,8,37,45,19,3,5,6,20,-4
PHI,4/27/19,PHI @ TOR,TRUE,L,240,95,35,89,39.3,24,57,42.10526316,11,32,34.4,14,21,66.7,13,34,47,23,5,2,14,21,-13
DEN,4/27/19,DEN vs. SAS,FALSE,W,239,90,35,88,39.8,33,68,48.52941176,2,20,10,18,23,78.3,13,40,53,21,3,8,6,19,4
LAC,4/26/19,LAC vs. GSW,FALSE,L,240,110,38,96,39.6,27,64,42.1875,11,32,34.4,23,28,82.1,16,33,49,22,7,5,14,26,-19
GSW,4/26/19,GSW @ LAC,TRUE,W,239,129,47,89,52.8,37,59,62.71186441,10,30,33.3,25,31,80.6,7,39,46,32,6,9,10,24,19
SAS,4/25/19,SAS vs. DEN,FALSE,W,240,120,48,84,57.1,38,60,63.33333333,10,24,41.7,14,17,82.4,10,31,41,25,3,7,7,17,17
DEN,4/25/19,DEN @ SAS,TRUE,L,241,103,44,96,45.8,38,72,52.77777778,6,24,25,9,12,75,12,25,37,26,5,3,7,18,-17
UTA,4/24/19,UTA @ HOU,TRUE,L,240,93,35,94,37.2,26,56,46.42857143,9,38,23.7,14,19,73.7,14,33,47,26,8,4,15,22,-7
LAC,4/24/19,LAC @ GSW,TRUE,W,240,129,46,85,54.1,33,51,64.70588235,13,34,38.2,24,26,92.3,9,33,42,29,3,1,10,23,8
HOU,4/24/19,HOU vs. UTA,FALSE,W,240,100,36,81,44.4,23,44,52.27272727,13,37,35.1,15,22,68.2,9,37,46,17,12,12,17,21,7
GSW,4/24/19,GSW vs. LAC,FALSE,L,240,121,43,96,44.8,28,57,49.12280702,15,39,38.5,20,22,90.9,15,24,39,31,7,3,8,23,-8
TOR,4/23/19,TOR vs. ORL,FALSE,W,240,115,41,85,48.2,26,49,53.06122449,15,36,41.7,18,21,85.7,8,40,48,34,8,3,14,30,19
SAS,4/23/19,SAS @ DEN,TRUE,L,240,90,37,90,41.1,30,66,45.45454545,7,24,29.2,9,15,60,10,32,42,17,6,3,7,20,-18
POR,4/23/19,POR vs. OKC,FALSE,W,240,118,45,96,46.9,32,61,52.45901639,13,35,37.1,15,23,65.2,13,32,45,22,8,5,9,18,3
PHI,4/23/19,PHI vs. BKN,FALSE,W,240,122,51,100,51,37,67,55.2238806,14,33,42.4,6,9,66.7,11,45,56,35,10,3,19,21,22
ORL,4/23/19,ORL @ TOR,TRUE,L,240,96,32,83,38.6,23,49,46.93877551,9,34,26.5,23,31,74.2,12,36,48,20,7,5,16,21,-19
OKC,4/23/19,OKC @ POR,TRUE,L,239,115,47,86,54.7,35,59,59.3220339,12,27,44.4,9,15,60,6,33,39,24,4,8,15,22,-9
DEN,4/23/19,DEN vs. SAS,FALSE,W,240,108,39,78,50,25,45,55.55555556,14,33,42.4,16,20,80,7,42,49,25,4,6,13,21,18
BKN,4/23/19,BKN @ PHI,TRUE,L,240,100,36,93,38.7,27,62,43.5483871,9,31,29,19,25,76,9,32,41,26,10,4,14,13,-22
UTA,4/22/19,UTA vs. HOU,FALSE,W,241,107,37,86,43,26,51,50.98039216,11,35,31.4,22,26,84.6,16,36,52,24,7,7,14,19,16
MIL,4/22/19,MIL @ DET,TRUE,W,240,127,43,79,54.4,33,51,64.70588235,10,28,35.7,31,41,75.6,10,44,54,27,6,10,17,21,23
HOU,4/22/19,HOU @ UTA,TRUE,L,241,91,28,79,35.4,11,33,33.33333333,17,46,37,18,24,75,9,26,35,14,9,4,15,23,-16
DET,4/22/19,DET vs. MIL,FALSE,L,240,104,41,100,41,28,66,42.42424242,13,34,38.2,9,12,75,10,26,36,26,8,1,10,31,-23
TOR,4/21/19,TOR @ ORL,TRUE,W,241,107,40,75,53.3,29,47,61.70212766,11,28,39.3,16,18,88.9,7,38,45,23,11,6,14,20,22
POR,4/21/19,POR @ OKC,TRUE,W,242,111,37,90,41.1,22,55,40,15,35,42.9,22,23,95.7,8,41,49,16,10,8,12,22,13
ORL,4/21/19,ORL vs. TOR,FALSE,L,241,85,34,81,42,27,48,56.25,7,33,21.2,10,13,76.9,7,27,34,20,7,2,17,19,-22
OKC,4/21/19,OKC vs. POR,FALSE,L,241,98,33,88,37.5,18,48,37.5,15,40,37.5,17,22,77.3,6,38,44,23,7,4,14,22,-13
LAC,4/21/19,LAC vs. GSW,FALSE,L,240,105,34,80,42.5,21,49,42.85714286,13,31,41.9,24,32,75,4,29,33,22,8,4,10,21,-8
IND,4/21/19,IND vs. BOS,FALSE,L,240,106,36,88,40.9,26,60,43.33333333,10,28,35.7,24,28,85.7,11,32,43,18,5,2,12,25,-4
GSW,4/21/19,GSW @ LAC,TRUE,W,239,113,42,89,47.2,30,58,51.72413793,12,31,38.7,17,19,89.5,11,38,49,27,5,2,13,27,8
BOS,4/21/19,BOS @ IND,TRUE,W,240,110,36,78,46.2,25,50,50,11,28,39.3,27,34,79.4,7,36,43,18,7,1,16,23,4
UTA,4/20/19,UTA vs. HOU,FALSE,L,241,101,32,77,41.6,20,36,55.55555556,12,41,29.3,25,38,65.8,7,41,48,21,9,11,14,22,-3
SAS,4/20/19,SAS vs. DEN,FALSE,L,240,103,37,79,46.8,32,62,51.61290323,5,17,29.4,24,32,75,11,35,46,23,4,4,9,22,-14
PHI,4/20/19,PHI @ BKN,TRUE,W,239,112,44,88,50,36,62,58.06451613,8,26,30.8,16,21,76.2,12,44,56,25,6,8,19,24,4
MIL,4/20/19,MIL @ DET,TRUE,W,240,119,42,86,48.8,28,48,58.33333333,14,38,36.8,21,24,87.5,13,38,51,24,5,6,15,22,16
HOU,4/20/19,HOU @ UTA,TRUE,W,240,104,33,86,38.4,18,41,43.90243902,15,45,33.3,23,34,67.6,9,43,52,19,11,4,13,25,3
DET,4/20/19,DET vs. MIL,FALSE,L,240,103,37,96,38.5,26,60,43.33333333,11,36,30.6,18,24,75,15,29,44,21,9,6,9,24,-16
DEN,4/20/19,DEN @ SAS,TRUE,W,239,117,40,89,44.9,25,58,43.10344828,15,31,48.4,22,24,91.7,11,34,45,25,4,2,7,22,14
BKN,4/20/19,BKN vs. PHI,FALSE,L,240,108,36,90,40,24,52,46.15384615,12,38,31.6,24,31,77.4,12,29,41,23,10,4,14,26,-4
TOR,4/19/19,TOR @ ORL,TRUE,W,239,98,39,87,44.8,28,59,47.45762712,11,28,39.3,9,10,90,8,35,43,26,9,3,13,23,5
POR,4/19/19,POR @ OKC,TRUE,L,241,108,39,83,47,27,52,51.92307692,12,31,38.7,18,24,75,12,29,41,18,5,1,18,33,-12
ORL,4/19/19,ORL vs. TOR,FALSE,L,240,93,29,80,36.3,16,36,44.44444444,13,44,29.5,22,23,95.7,7,35,42,19,8,5,16,17,-5
OKC,4/19/19,OKC vs. POR,FALSE,W,239,120,37,77,48.1,22,48,45.83333333,15,29,51.7,31,39,79.5,8,29,37,27,6,5,15,24,12
IND,4/19/19,IND vs. BOS,FALSE,L,239,96,34,81,42,23,51,45.09803922,11,30,36.7,17,23,73.9,8,32,40,20,9,4,9,19,-8
BOS,4/19/19,BOS @ IND,TRUE,W,239,104,38,81,46.9,23,47,48.93617021,15,34,44.1,13,22,59.1,9,36,45,23,4,4,13,19,8
SAS,4/18/19,SAS vs. DEN,FALSE,W,242,118,44,89,49.4,37,71,52.11267606,7,18,38.9,23,32,71.9,15,30,45,24,9,2,6,20,10
PHI,4/18/19,PHI @ BKN,TRUE,W,240,131,45,94,47.9,34,67,50.74626866,11,27,40.7,30,35,85.7,15,39,54,26,9,5,16,29,16
LAC,4/18/19,LAC vs. GSW,FALSE,L,239,105,35,94,37.2,28,62,45.16129032,7,32,21.9,28,34,82.4,16,27,43,21,6,2,12,25,-27
GSW,4/18/19,GSW @ LAC,TRUE,W,242,132,51,93,54.8,36,58,62.06896552,15,35,42.9,15,18,83.3,10,40,50,35,4,11,12,28,27
DEN,4/18/19,DEN @ SAS,TRUE,L,241,108,42,81,51.9,27,52,51.92307692,15,29,51.7,9,17,52.9,10,27,37,31,3,1,13,21,-10
BKN,4/18/19,BKN vs. PHI,FALSE,L,239,115,39,96,40.6,31,57,54.38596491,8,39,20.5,29,35,82.9,13,30,43,12,6,2,15,24,-16
UTA,4/17/19,UTA @ HOU,TRUE,L,241,98,39,98,39.8,31,60,51.66666667,8,38,21.1,12,18,66.7,15,33,48,27,16,3,12,26,-20
MIL,4/17/19,MIL vs. DET,FALSE,W,242,120,47,90,52.2,36,64,56.25,11,26,42.3,15,21,71.4,8,46,54,32,5,11,12,21,21
IND,4/17/19,IND @ BOS,TRUE,L,241,91,36,81,44.4,23,47,48.93617021,13,34,38.2,6,10,60,4,32,36,23,11,3,11,16,-8
HOU,4/17/19,HOU vs. UTA,FALSE,W,240,118,38,80,47.5,21,38,55.26315789,17,42,40.5,25,30,83.3,8,38,46,17,8,9,18,18,20
DET,4/17/19,DET @ MIL,TRUE,L,240,99,37,99,37.4,25,63,39.68253968,12,36,33.3,13,17,76.5,11,32,43,23,5,7,8,21,-21
BOS,4/17/19,BOS vs. IND,FALSE,W,240,99,40,84,47.6,29,56,51.78571429,11,28,39.3,8,9,88.9,7,41,48,22,3,5,14,16,8
TOR,4/16/19,TOR vs. ORL,FALSE,W,242,111,42,87,48.3,31,52,59.61538462,11,35,31.4,16,17,94.1,6,36,42,25,10,5,7,23,29
SAS,4/16/19,SAS @ DEN,TRUE,L,239,105,39,86,45.3,34,68,50,5,18,27.8,22,25,88,11,39,50,20,3,3,10,20,-9
POR,4/16/19,POR vs. OKC,FALSE,W,242,114,42,90,46.7,29,58,50,13,32,40.6,17,21,81,7,37,44,17,9,6,12,27,20
ORL,4/16/19,ORL @ TOR,TRUE,L,241,82,30,81,37,21,47,44.68085106,9,34,26.5,13,24,54.2,12,33,45,17,2,4,17,18,-29
OKC,4/16/19,OKC @ POR,TRUE,L,240,94,35,86,40.7,30,58,51.72413793,5,28,17.9,19,28,67.9,13,34,47,21,6,6,16,27,-20
DEN,4/16/19,DEN vs. SAS,FALSE,W,241,114,43,89,48.3,33,65,50.76923077,10,24,41.7,18,26,69.2,7,34,41,29,5,2,5,21,9
PHI,4/15/19,PHI vs. BKN,FALSE,W,240,145,55,98,56.1,46,75,61.33333333,9,23,39.1,26,32,81.3,15,34,49,29,8,3,12,23,22
LAC,4/15/19,LAC @ GSW,TRUE,W,241,135,48,85,56.5,34,54,62.96296296,14,31,45.2,25,31,80.6,8,26,34,34,14,1,19,33,4
GSW,4/15/19,GSW vs. LAC,FALSE,L,240,131,40,75,53.3,29,47,61.70212766,11,28,39.3,40,45,88.9,7,31,38,31,11,6,22,31,-4
BKN,4/15/19,BKN @ PHI,TRUE,L,239,123,43,90,47.8,28,54,51.85185185,15,36,41.7,22,29,75.9,12,20,32,20,3,2,14,24,-22
UTA,4/14/19,UTA @ HOU,TRUE,L,239,90,30,77,39,23,50,46,7,27,25.9,23,27,85.2,7,34,41,17,6,2,18,20,-32
POR,4/14/19,POR vs. OKC,FALSE,W,240,104,36,86,41.9,25,61,40.98360656,11,25,44,21,27,77.8,13,35,48,14,8,9,18,17,5
OKC,4/14/19,OKC @ POR,TRUE,L,240,99,37,93,39.8,32,60,53.33333333,5,33,15.2,20,23,87,18,31,49,18,10,4,16,26,-5
MIL,4/14/19,MIL vs. DET,FALSE,W,240,121,44,90,48.9,29,47,61.70212766,15,43,34.9,18,26,69.2,8,46,54,31,7,8,10,16,35
IND,4/14/19,IND @ BOS,TRUE,L,242,74,28,84,33.3,22,57,38.59649123,6,27,22.2,12,21,57.1,9,33,42,22,8,5,13,20,-10
HOU,4/14/19,HOU vs. UTA,FALSE,W,240,122,48,95,50.5,33,54,61.11111111,15,41,36.6,11,12,91.7,8,34,42,25,6,6,10,20,32
DET,4/14/19,DET @ MIL,TRUE,L,241,86,35,92,38,27,65,41.53846154,8,27,29.6,8,13,61.5,7,39,46,22,7,2,13,21,-35
BOS,4/14/19,BOS vs. IND,FALSE,W,238,84,28,77,36.4,18,49,36.73469388,10,28,35.7,18,22,81.8,7,48,55,18,8,2,17,20,10
TOR,4/13/19,TOR vs. ORL,FALSE,L,240,101,40,88,45.5,28,52,53.84615385,12,36,33.3,9,14,64.3,6,39,45,23,4,4,12,19,-3
SAS,4/13/19,SAS @ DEN,TRUE,W,240,101,40,83,48.2,33,68,48.52941176,7,15,46.7,14,20,70,10,37,47,20,4,4,11,17,5
PHI,4/13/19,PHI vs. BKN,FALSE,L,239,102,35,86,40.7,32,61,52.45901639,3,25,12,29,42,69,16,34,50,20,6,11,13,24,-9
ORL,4/13/19,ORL @ TOR,TRUE,W,241,104,36,90,40,22,61,36.06557377,14,29,48.3,18,20,90,10,38,48,19,9,4,11,19,3
LAC,4/13/19,LAC @ GSW,TRUE,L,241,104,38,95,40,27,65,41.53846154,11,30,36.7,17,22,77.3,7,33,40,24,10,7,16,22,-17
GSW,4/13/19,GSW vs. LAC,FALSE,W,241,121,45,92,48.9,31,62,50,14,30,46.7,17,20,85,12,42,54,31,9,14,21,22,17
DEN,4/13/19,DEN vs. SAS,FALSE,L,239,96,37,88,42,31,60,51.66666667,6,28,21.4,16,24,66.7,13,33,46,25,8,3,10,18,-5
BKN,4/13/19,BKN @ PHI,TRUE,W,241,111,38,88,43.2,27,62,43.5483871,11,26,42.3,24,26,92.3,10,35,45,15,9,2,11,27,9
GSW,6/8/18,GSW @ CLE,TRUE,W,241,108,39,86,45.3,25,48,52.08333333,14,38,36.8,16,16,100,10,34,44,25,7,13,8,24,23
CLE,6/8/18,CLE vs. GSW,FALSE,L,242,85,30,87,34.5,22,60,36.66666667,8,27,29.6,17,25,68,17,27,44,21,5,5,11,22,-23
GSW,6/6/18,GSW @ CLE,TRUE,W,239,110,42,81,51.9,33,55,60,9,26,34.6,17,19,89.5,6,31,37,27,6,5,10,20,8
CLE,6/6/18,CLE vs. GSW,FALSE,L,240,102,40,92,43.5,31,61,50.81967213,9,31,29,13,17,76.5,15,32,47,20,6,4,13,18,-8
GSW,6/3/18,GSW vs. CLE,FALSE,W,238,122,47,82,57.3,32,46,69.56521739,15,36,41.7,13,21,61.9,7,34,41,28,3,8,12,25,19
CLE,6/3/18,CLE @ GSW,TRUE,L,238,103,37,90,41.1,28,63,44.44444444,9,27,33.3,20,26,76.9,16,26,42,25,9,4,10,15,-19
